model,metric,source,value
"GPT-OSS
120B",,Real,5810.0
"GPT-OSS
120B",,Simulated,5425.522009181647
"Llama 3
70B",,Real,1633.0
"Llama 3
70B",,Simulated,1629.14439775837
"Qwen3 30B
A3B",,Real,8901.0
"Qwen3 30B
A3B",,Simulated,4213.637816081985
