model,energy_per_token_wh,co2_per_token_g
deepseekv3,0.003911205818917594,0.0008672035823237307
gptoss-120b,0.00027940227814429063,7.09730646828192e-05
llama3-70b,0.0037870674545943694,0.0010069641556712924
