timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:17:56.176, 1635, 66, 499.12, 79
2026/07/21 11:17:57.360, 1665, 67, 521.15, 84
2026/07/21 11:17:58.529, 1590, 60, 371.40, 0
2026/07/21 11:17:59.701, 1560, 68, 536.36, 97
2026/07/21 11:18:00.884, 1530, 68, 541.72, 95
2026/07/21 11:18:02.062, 1560, 69, 547.72, 97
2026/07/21 11:18:03.234, 1485, 69, 549.68, 97
2026/07/21 11:18:04.407, 1545, 69, 550.96, 97
2026/07/21 11:18:05.586, 1560, 69, 549.39, 97
2026/07/21 11:18:06.764, 1575, 69, 545.75, 97
2026/07/21 11:18:07.938, 1590, 70, 544.60, 97
2026/07/21 11:18:09.115, 1650, 68, 540.45, 97
2026/07/21 11:18:10.291, 1620, 69, 547.66, 97
2026/07/21 11:18:11.466, 1530, 69, 550.53, 97
2026/07/21 11:18:12.640, 1545, 69, 555.48, 99
2026/07/21 11:18:13.818, 1635, 70, 553.13, 97
2026/07/21 11:18:14.991, 1920, 68, 538.28, 97
2026/07/21 11:18:16.169, 1965, 66, 523.64, 97
2026/07/21 11:18:17.361, 1980, 66, 478.77, 91
2026/07/21 11:18:18.538, 1980, 66, 484.91, 91
2026/07/21 11:18:19.713, 1980, 66, 474.10, 91
2026/07/21 11:18:20.894, 1980, 66, 476.62, 91
2026/07/21 11:18:22.070, 1980, 66, 480.35, 91
2026/07/21 11:18:23.236, 1980, 55, 266.17, 0
2026/07/21 11:18:24.397, 1980, 53, 145.39, 0
2026/07/21 11:18:25.554, 1980, 52, 147.17, 0
2026/07/21 11:18:26.941, 1980, 52, 148.14, 0
2026/07/21 11:18:28.693, 345, 48, 89.88, 0
2026/07/21 11:18:30.005, 345, 48, 90.05, 0
2026/07/21 11:18:31.189, 345, 48, 89.97, 0
2026/07/21 11:18:32.373, 345, 48, 90.03, 0
2026/07/21 11:18:33.554, 345, 47, 90.06, 0
2026/07/21 11:18:34.731, 345, 47, 90.02, 0
2026/07/21 11:18:35.910, 345, 47, 89.84, 0
2026/07/21 11:18:37.092, 345, 47, 89.92, 0
2026/07/21 11:18:38.277, 345, 47, 89.81, 0
2026/07/21 11:18:39.444, 1980, 49, 105.56, 2
2026/07/21 11:18:40.606, 1980, 50, 145.59, 1
2026/07/21 11:18:41.777, 1755, 57, 233.01, 0
2026/07/21 11:18:42.954, 1500, 64, 516.02, 95
2026/07/21 11:18:44.121, 1545, 65, 508.15, 83
2026/07/21 11:18:45.296, 1545, 67, 517.47, 93
2026/07/21 11:18:46.475, 1530, 67, 508.46, 82
2026/07/21 11:18:47.655, 1710, 66, 521.37, 97
2026/07/21 11:18:48.832, 1605, 68, 538.60, 99
2026/07/21 11:18:50.023, 1935, 64, 515.96, 94
2026/07/21 11:18:51.195, 1680, 67, 512.78, 81
2026/07/21 11:18:52.362, 1965, 66, 476.51, 84
2026/07/21 11:18:53.528, 1980, 65, 461.42, 77
2026/07/21 11:18:54.701, 1980, 64, 408.52, 88
2026/07/21 11:18:55.867, 1980, 65, 455.01, 68
2026/07/21 11:18:57.038, 1980, 65, 458.87, 82
2026/07/21 11:18:58.221, 1980, 66, 488.95, 92
2026/07/21 11:18:59.396, 1980, 66, 481.59, 92
2026/07/21 11:19:00.567, 1980, 65, 457.62, 72
2026/07/21 11:19:01.739, 1980, 64, 443.23, 84
2026/07/21 11:19:02.913, 1980, 64, 452.48, 85
2026/07/21 11:19:04.089, 1980, 65, 456.57, 84
2026/07/21 11:19:05.270, 1980, 65, 473.40, 90
2026/07/21 11:19:06.441, 1980, 65, 468.33, 90
2026/07/21 11:19:07.618, 1980, 66, 477.87, 90
2026/07/21 11:19:08.793, 1980, 66, 476.91, 91
2026/07/21 11:19:09.972, 1980, 66, 478.69, 91
2026/07/21 11:19:11.146, 1980, 66, 482.91, 91
2026/07/21 11:19:12.309, 1980, 54, 146.37, 0
2026/07/21 11:19:13.466, 1980, 52, 144.89, 0
2026/07/21 11:19:14.628, 1980, 52, 146.30, 0
2026/07/21 11:19:15.791, 1980, 51, 148.03, 0
2026/07/21 11:19:17.265, 345, 48, 89.83, 0
2026/07/21 11:19:19.234, 345, 48, 89.96, 0
2026/07/21 11:19:20.412, 345, 48, 89.86, 0
2026/07/21 11:19:21.592, 345, 47, 89.95, 0
2026/07/21 11:19:22.777, 345, 47, 89.85, 0
2026/07/21 11:19:23.960, 345, 47, 89.91, 0
2026/07/21 11:19:25.136, 345, 47, 89.82, 0
2026/07/21 11:19:26.316, 345, 47, 89.93, 0
2026/07/21 11:19:27.498, 345, 47, 89.77, 0
2026/07/21 11:19:28.659, 1980, 48, 104.09, 0
2026/07/21 11:19:29.819, 1980, 50, 145.82, 8
