model,source,value
gptoss-bf16-3nic,Baseline,885.7002258300781
gptoss-bf16-3nic,Baseline,886.1606121063232
gptoss-bf16-3nic,Baseline,885.4196071624756
gptoss-bf16-3nic,Baseline,885.8292102813721
gptoss-bf16-3nic,Baseline,885.9844207763672
gptoss-bf16-3nic,Baseline,886.0983848571777
gptoss-bf16-3nic,Baseline,885.9848976135254
gptoss-bf16-3nic,Baseline,885.638952255249
gptoss-bf16-3nic,Baseline,885.7777118682861
gptoss-bf16-3nic,Baseline,886.2111568450928
gptoss-bf16-3nic,Baseline,886.742353439331
gptoss-bf16-3nic,Baseline,2480.1626205444336
gptoss-bf16-3nic,Simulated,839.3382913595182
gptoss-bf16-2nic,Baseline,1034.5933437347412
gptoss-bf16-2nic,Baseline,1034.4493389129639
gptoss-bf16-2nic,Baseline,1035.74800491333
gptoss-bf16-2nic,Baseline,1036.329746246338
gptoss-bf16-2nic,Baseline,1035.8607769012451
gptoss-bf16-2nic,Baseline,1035.2835655212402
gptoss-bf16-2nic,Baseline,1034.3191623687744
gptoss-bf16-2nic,Baseline,1035.3591442108154
gptoss-bf16-2nic,Baseline,1036.5564823150635
gptoss-bf16-2nic,Baseline,2227.2181510925293
gptoss-bf16-2nic,Baseline,1035.0391864776611
gptoss-bf16-2nic,Baseline,1034.9485874176025
gptoss-bf16-2nic,Baseline,1035.7837677001953
gptoss-bf16-2nic,Baseline,1035.2003574371338
gptoss-bf16-2nic,Baseline,1034.11865234375
gptoss-bf16-2nic,Baseline,1034.7139835357666
gptoss-bf16-2nic,Baseline,1035.7344150543213
gptoss-bf16-2nic,Baseline,1035.1614952087402
gptoss-bf16-2nic,Baseline,1034.4152450561523
gptoss-bf16-2nic,Baseline,1035.2838039398193
gptoss-bf16-2nic,Baseline,1035.628318786621
gptoss-bf16-2nic,Baseline,1035.4406833648682
gptoss-bf16-2nic,Baseline,1034.5702171325684
gptoss-bf16-2nic,Baseline,1037.2300148010254
gptoss-bf16-2nic,Baseline,1034.5234870910645
gptoss-bf16-2nic,Baseline,1035.5119705200195
gptoss-bf16-2nic,Baseline,1034.1649055480957
gptoss-bf16-2nic,Baseline,1035.2544784545898
gptoss-bf16-2nic,Baseline,1035.672664642334
gptoss-bf16-2nic,Baseline,1036.0941886901855
gptoss-bf16-2nic,Simulated,1037.1605049063555
gptoss-bf16-1nic,Baseline,1581.8231105804443
gptoss-bf16-1nic,Baseline,1582.3729038238525
gptoss-bf16-1nic,Baseline,1581.4661979675293
gptoss-bf16-1nic,Baseline,1582.8697681427002
gptoss-bf16-1nic,Baseline,1579.5228481292725
gptoss-bf16-1nic,Baseline,1579.5209407806396
gptoss-bf16-1nic,Baseline,1580.7335376739502
gptoss-bf16-1nic,Baseline,1581.5341472625732
gptoss-bf16-1nic,Baseline,1580.2206993103027
gptoss-bf16-1nic,Baseline,1582.1325778961182
gptoss-bf16-1nic,Baseline,1579.2796611785889
gptoss-bf16-1nic,Baseline,1580.169677734375
